shape,carat,color,clarity,cut,authentication,ship date,price,natural
Round,0.3,I,SI2,Excellent,GIA,43976,340,Natural
Round,0.3,K,VS1,Excellent,GIA,43976,340,Natural
Round,0.2,F,VVS2,Very Good,GIA,43976,340,Natural
Round,0.32,M,SI1,Excellent,GIA,43976,340,Natural
Round,0.32,E,SI2,Very Good,GIA,43972,340,Natural
Round,0.34,I,SI2,Very Good,GIA,43972,340,Natural
Round,0.3,I,SI2,Very Good,GIA,43976,350,Natural
Round,0.3,J,SI2,Excellent,GIA,43976,350,Natural
Round,0.3,I,SI2,Very Good,GIA,43976,350,Natural
Round,0.3,J,SI2,Excellent,GIA,43976,350,Natural
Round,0.3,M,VVS2,Excellent,GIA,43976,350,Natural
Round,0.35,F,SI2,Very Good,GIA,43976,350,Natural
Round,0.3,I,SI2,Very Good,GIA,43976,350,Natural
Round,0.37,M,SI1,Excellent,GIA,43972,350,Natural
Round,0.42,I,I1,Good,GIA,43972,350,Natural
Round,0.33,E,I1,Very Good,GIA,43972,350,Natural
Round,0.34,M,VS2,Excellent,GIA,43972,350,Natural
Round,0.31,E,I1,Excellent,GIA,43976,350,Natural
Round,0.3,J,SI2,Excellent,GIA,43976,350,Natural
Round,0.3,J,SI2,Excellent,GIA,43976,350,Natural
Round,0.34,I,SI2,Excellent,GIA,43976,350,Natural
Round,0.3,J,VS2,Good,GIA,43976,350,Natural
Round,0.31,K,VS1,Excellent,GIA,43976,350,Natural
Round,0.3,D,I1,Very Good,GIA,43976,350,Natural
Round,0.4,J,SI2,Very Good,GIA,43976,350,Natural
Round,0.31,I,SI2,Excellent,GIA,43976,350,Natural
Round,0.3,J,VVS1,Excellent,GIA,43976,350,Natural
Round,0.34,F,SI2,Very Good,GIA,43972,350,Natural
Round,0.3,F,SI2,Good,GIA,43976,350,Natural
Round,0.31,E,I1,Excellent,GIA,43976,350,Natural
Round,0.3,J,SI2,Very Good,GIA,43976,350,Natural
Round,0.3,E,SI1,Very Good,GIA,43976,350,Natural
Round,0.3,J,SI2,Excellent,GIA,43976,350,Natural
Round,0.3,G,SI2,Good,GIA,43976,350,Natural
Round,0.3,K,SI1,Excellent,GIA,43976,350,Natural
Round,0.31,I,SI2,Excellent,GIA,43976,350,Natural
Round,0.3,J,SI2,Excellent,GIA,43976,350,Natural
Round,0.3,G,SI2,Excellent,GIA,43976,350,Natural
Round,0.3,K,VS1,Very Good,GIA,43976,350,Natural
Round,0.3,K,VS2,Excellent,GIA,43976,350,Natural
Round,0.3,I,SI2,Very Good,GIA,43976,350,Natural
Round,0.3,J,SI2,Excellent,GIA,43976,350,Natural
Round,0.3,M,VS1,Excellent,GIA,43976,350,Natural
Round,0.31,I,SI2,Excellent,GIA,43976,350,Natural
Round,0.3,K,VS2,Excellent,GIA,43976,350,Natural
Round,0.3,K,VVS2,Very Good,GIA,43972,350,Natural
Round,0.3,M,VVS2,Excellent,GIA,43972,350,Natural
Round,0.3,J,SI1,Excellent,GIA,43976,350,Natural
Round,0.3,I,SI2,Very Good,GIA,43976,350,Natural
Round,0.3,I,SI2,Very Good,GIA,43976,350,Natural
Round,0.3,I,SI2,Very Good,GIA,43976,350,Natural
Round,0.3,J,SI2,Very Good,GIA,43976,350,Natural
Round,0.4,H,I1,Good,GIA,43976,350,Natural
Round,0.3,K,VS2,Excellent,GIA,43976,350,Natural
Round,0.3,J,SI2,Excellent,GIA,43976,350,Natural
Round,0.3,K,VS2,Excellent,GIA,43976,350,Natural
Round,0.31,K,VS1,Very Good,GIA,43976,350,Natural
Round,0.35,K,SI2,Excellent,GIA,43976,350,Natural
Round,0.35,I,SI1,Excellent,GIA,43976,350,Natural
Round,0.3,J,VS1,Excellent,GIA,43976,350,Natural
Round,0.3,I,SI1,Excellent,GIA,43976,350,Natural
Round,0.3,I,SI2,Good,GIA,43976,350,Natural
Round,0.37,L,VS1,Excellent,GIA,43972,350,Natural
Round,0.37,L,VS1,Excellent,GIA,43972,350,Natural
Round,0.34,J,I1,Excellent,GIA,43972,350,Natural
Round,0.3,I,SI2,Very Good,GIA,43976,350,Natural
Round,0.31,K,VVS2,Excellent,GIA,43976,350,Natural
Round,0.3,I,SI2,Good,GIA,43976,350,Natural
Round,0.3,E,SI2,Very Good,GIA,43976,350,Natural
Round,0.3,J,SI2,Excellent,GIA,43976,350,Natural
Round,0.31,I,SI2,Excellent,GIA,43976,350,Natural
Round,0.31,H,SI2,Excellent,GIA,43976,350,Natural
Round,0.33,L,VS1,Excellent,GIA,43976,350,Natural
Round,0.3,K,VS1,Excellent,GIA,43976,350,Natural
Round,0.3,I,SI2,Excellent,GIA,43976,350,Natural
Round,0.3,I,SI2,Good,GIA,43976,350,Natural
Round,0.32,K,SI2,Very Good,GIA,43972,350,Natural
Round,0.32,E,SI2,Very Good,GIA,43972,350,Natural
Round,0.3,D,SI2,Very Good,GIA,43972,350,Natural
Round,0.37,L,VS1,Excellent,GIA,43972,350,Natural
Round,0.3,I,SI1,Very Good,GIA,43972,350,Natural
Round,0.34,M,VS2,Excellent,GIA,43972,350,Natural
Round,0.35,K,SI1,Excellent,GIA,43976,360,Natural
Round,0.3,I,SI2,Very Good,GIA,43976,360,Natural
Round,0.3,E,SI2,Excellent,GIA,43976,360,Natural
Round,0.3,I,SI2,Very Good,GIA,43976,360,Natural
Round,0.3,I,SI2,Excellent,GIA,43976,360,Natural
Round,0.31,J,VS2,Excellent,GIA,43976,360,Natural
Round,0.4,J,I1,Very Good,GIA,43976,360,Natural
Round,0.3,L,VVS1,Excellent,GIA,43976,360,Natural
Round,0.3,L,VVS1,Excellent,GIA,43976,360,Natural
Round,0.3,J,SI1,Good,GIA,43976,360,Natural
Round,0.3,J,SI1,Very Good,GIA,43976,360,Natural
Round,0.37,L,VVS2,Excellent,GIA,43972,360,Natural
Round,0.31,E,I1,Excellent,GIA,43976,360,Natural
Round,0.3,D,SI1,Good,GIA,43976,360,Natural
Round,0.3,G,SI1,Very Good,GIA,43976,360,Natural
Round,0.31,I,SI2,Very Good,GIA,43976,360,Natural
Round,0.3,I,SI2,Very Good,GIA,43976,360,Natural
Round,0.3,E,SI2,Excellent,GIA,43976,360,Natural
Round,0.31,G,SI2,Very Good,GIA,43976,360,Natural
Round,0.3,F,SI2,Excellent,GIA,43976,360,Natural
Round,0.3,K,VS1,Excellent,GIA,43976,360,Natural
Round,0.31,J,SI2,Very Good,GIA,43976,360,Natural
Round,0.34,J,SI2,Excellent,GIA,43976,360,Natural
